DSM2 Injection Node,EDSM Subregion,LFS Region
329,East Suisun Bay,Suisun
365,Grizzly Bay,Suisun
227,Honker Bay,Suisun
420,Montezuma Slough,Suisun
359,West Suisun Bay,Suisun
359,Carquinez Strait,Western Delta
359,Upper Napa River,Western Delta
359,Lower Napa River,Western Delta
359,East San Pablo Bay,Western Delta
359,West San Pablo Bay,Western Delta
359,Mid San Pablo Bay,Western Delta
353,Lower Sacramento River,Lower Sacramento
351,Sacramento River near Rio Vista,Lower Sacramento
350,Lower Sacramento River Ship Channel,Sacramento/ North Delta
293,Sacramento River near Ryde,Sacramento/ North Delta
323,Cache Slough and Liberty Island,Sacramento/ North Delta
304,Upper Sacramento River,Sacramento/ North Delta
249,North and South Forks Mokelumne River,East
46,Lower San Joaquin River,Lower San Joaquin
41,San Joaquin River at Twitchell Island,Lower San Joaquin
34,San Joaquin River at Prisoners Point,Lower San Joaquin
225,Franks Tract,South Delta
99,Holland Cut,South Delta
86,Old River,South Delta
29,San Joaquin River near Stockton,South Delta
145,Middle River,South Delta
75,Victoria Canal,South Delta
